timestamp,object_id,motion_state,range_m,azimuth_deg,elevation_deg,x,y,z,vRel,snr,direction,classification
2025-07-31T17:07:52.925902,HUMAN_20250731_170752_17,MOVING,4.64,-8.452708282442458,0.18802653977111974,-2.53,3.89,0.02,0.12,2.0,LEFT,HUMAN
2025-07-31T17:07:53.305808,HUMAN_20250731_170753_17,MOVING,4.64,-8.452708282442458,0.18802653977111974,-2.53,3.89,0.02,0.12,2.0,LEFT,HUMAN
2025-07-31T17:07:53.654726,HUMAN_20250731_170753_17,MOVING,4.64,-8.452708282442458,0.18802653977111974,-2.53,3.89,0.02,0.12,2.0,LEFT,HUMAN
2025-07-31T17:07:54.070927,HUMAN_20250731_170754_17,MOVING,4.64,-8.452708282442458,0.18802653977111974,-2.53,3.89,0.02,0.12,2.0,LEFT,HUMAN
2025-07-31T17:07:54.454970,HUMAN_20250731_170754_17,MOVING,4.64,-8.452708282442458,0.18802653977111974,-2.53,3.89,0.02,0.12,2.0,LEFT,HUMAN
2025-07-31T17:07:54.805612,HUMAN_20250731_170754_17,MOVING,4.64,-8.452708282442458,0.18802653977111974,-2.53,3.89,0.02,0.12,2.0,LEFT,HUMAN
2025-07-31T17:07:55.169676,HUMAN_20250731_170755_17,MOVING,4.64,-8.452708282442458,0.18802653977111974,-2.53,3.89,0.02,0.12,2.0,LEFT,HUMAN
2025-07-31T17:07:55.519009,HUMAN_20250731_170755_17,MOVING,4.64,-8.452708282442458,0.18802653977111974,-2.53,3.89,0.02,0.12,2.0,LEFT,HUMAN
2025-07-31T17:07:55.864050,HUMAN_20250731_170755_17,MOVING,4.63,-8.552813612510251,-0.0003980446619072401,-2.56,3.86,-0.0,0.16,2.0,LEFT,HUMAN
2025-07-31T17:07:56.227543,HUMAN_20250731_170756_17,MOVING,4.63,-8.552813612510251,-0.0003980446619072401,-2.56,3.86,-0.0,0.16,2.0,LEFT,HUMAN
2025-07-31T17:07:56.574028,HUMAN_20250731_170756_17,MOVING,4.62,-8.602167467546767,-0.04852409476468442,-2.57,3.84,-0.0,0.19,2.0,LEFT,HUMAN
2025-07-31T17:07:56.913859,HUMAN_20250731_170756_17,MOVING,4.62,-8.620269381855056,0.0651167003248755,-2.58,3.83,0.01,0.2,2.0,LEFT,HUMAN
2025-07-31T17:07:57.256860,HUMAN_20250731_170757_17,MOVING,4.61,-8.6821487218921,0.8289653172090781,-2.6,3.81,0.07,0.23,2.0,LEFT,HUMAN
2025-07-31T17:07:57.665263,HUMAN_20250731_170757_17,MOVING,4.61,-8.705223972280137,0.947261392883087,-2.6,3.8,0.08,0.24,2.0,LEFT,HUMAN
2025-07-31T17:07:58.018783,HUMAN_20250731_170758_17,MOVING,4.61,-8.721792929260747,1.0026786994873467,-2.61,3.79,0.08,0.25,2.0,LEFT,HUMAN
2025-07-31T17:07:58.372516,HUMAN_20250731_170758_17,MOVING,4.6,-8.73544331385494,0.9402109661154309,-2.61,3.78,0.08,0.26,2.0,AWAY,HUMAN
2025-07-31T17:07:58.776415,HUMAN_20250731_170758_17,MOVING,4.6,-8.73544331385494,0.9402109661154309,-2.61,3.78,0.08,0.26,2.0,AWAY,HUMAN
2025-07-31T17:07:59.188163,HUMAN_20250731_170759_17,MOVING,4.59,-8.744356190006563,1.0436272809161173,-2.61,3.78,0.08,0.27,2.0,AWAY,HUMAN
2025-07-31T17:07:59.593729,HUMAN_20250731_170759_17,MOVING,4.59,-8.744356190006563,1.0436272809161173,-2.61,3.78,0.08,0.27,2.0,AWAY,HUMAN
2025-07-31T17:08:00.002392,HUMAN_20250731_170800_17,MOVING,4.59,-8.744356190006563,1.0436272809161173,-2.61,3.78,0.08,0.27,2.0,AWAY,HUMAN
2025-07-31T17:08:00.401351,HUMAN_20250731_170800_17,MOVING,4.59,-8.744356190006563,1.0436272809161173,-2.61,3.78,0.08,0.27,2.0,AWAY,HUMAN
2025-07-31T17:08:00.745983,HUMAN_20250731_170800_17,MOVING,4.59,-8.744356190006563,1.0436272809161173,-2.61,3.78,0.08,0.27,2.0,AWAY,HUMAN
2025-07-31T17:08:01.325223,HUMAN_20250731_170801_17,MOVING,4.59,-8.744356190006563,1.0436272809161173,-2.61,3.78,0.08,0.27,2.0,AWAY,HUMAN
2025-07-31T17:08:01.684543,HUMAN_20250731_170801_17,MOVING,4.59,-8.744356190006563,1.0436272809161173,-2.61,3.78,0.08,0.27,2.0,AWAY,HUMAN
2025-07-31T17:08:02.041762,HUMAN_20250731_170802_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:02.388906,HUMAN_20250731_170802_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:02.762060,HUMAN_20250731_170802_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:03.156000,HUMAN_20250731_170803_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:03.510502,HUMAN_20250731_170803_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:03.861610,HUMAN_20250731_170803_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:04.272259,HUMAN_20250731_170804_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:04.669232,HUMAN_20250731_170804_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:05.081751,HUMAN_20250731_170805_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:05.486912,HUMAN_20250731_170805_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:05.893209,HUMAN_20250731_170805_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:06.291211,HUMAN_20250731_170806_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:06.688224,HUMAN_20250731_170806_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:07.084441,HUMAN_20250731_170807_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:07.485318,HUMAN_20250731_170807_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:07.864739,HUMAN_20250731_170807_17,MOVING,4.58,0.0,0.0,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:07.864739,HUMAN_20250731_170807_25,MOVING,4.25,0.0,0.0,-3.7,2.07,0.35,0.22,2.0,LEFT,HUMAN
2025-07-31T17:08:08.393360,HUMAN_20250731_170808_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:08.742466,HUMAN_20250731_170808_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:09.088410,HUMAN_20250731_170809_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:09.442623,HUMAN_20250731_170809_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:09.795456,HUMAN_20250731_170809_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:10.145981,HUMAN_20250731_170810_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:10.491340,HUMAN_20250731_170810_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:10.840946,HUMAN_20250731_170810_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:11.184395,HUMAN_20250731_170811_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:11.539983,HUMAN_20250731_170811_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:11.885908,HUMAN_20250731_170811_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:12.230779,HUMAN_20250731_170812_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:12.655656,HUMAN_20250731_170812_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:13.056514,HUMAN_20250731_170813_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:13.456621,HUMAN_20250731_170813_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:13.804845,HUMAN_20250731_170813_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:14.154840,HUMAN_20250731_170814_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:14.500557,HUMAN_20250731_170814_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:14.848827,HUMAN_20250731_170814_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:15.261999,HUMAN_20250731_170815_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:15.662528,HUMAN_20250731_170815_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:16.053874,HUMAN_20250731_170816_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:16.397884,HUMAN_20250731_170816_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:16.746475,HUMAN_20250731_170816_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:17.101573,HUMAN_20250731_170817_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:17.453412,HUMAN_20250731_170817_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:17.807036,HUMAN_20250731_170817_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:18.153651,HUMAN_20250731_170818_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:18.502236,HUMAN_20250731_170818_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:18.839631,HUMAN_20250731_170818_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:19.188184,HUMAN_20250731_170819_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:19.599878,HUMAN_20250731_170819_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:20.011145,HUMAN_20250731_170820_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:20.417722,HUMAN_20250731_170820_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:20.778549,HUMAN_20250731_170820_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:21.150171,HUMAN_20250731_170821_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:21.500988,HUMAN_20250731_170821_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:21.851302,HUMAN_20250731_170821_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:22.426928,HUMAN_20250731_170822_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:22.775103,HUMAN_20250731_170822_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:23.126515,HUMAN_20250731_170823_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:23.476397,HUMAN_20250731_170823_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:23.876156,HUMAN_20250731_170823_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:24.279925,HUMAN_20250731_170824_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:24.680882,HUMAN_20250731_170824_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:25.089813,HUMAN_20250731_170825_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:25.487435,HUMAN_20250731_170825_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:25.885192,HUMAN_20250731_170825_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:26.289138,HUMAN_20250731_170826_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:26.691368,HUMAN_20250731_170826_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:27.094766,HUMAN_20250731_170827_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:27.490905,HUMAN_20250731_170827_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:27.846163,HUMAN_20250731_170827_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:28.194091,HUMAN_20250731_170828_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:28.545690,HUMAN_20250731_170828_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:28.918079,HUMAN_20250731_170828_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:29.271196,HUMAN_20250731_170829_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:29.654402,HUMAN_20250731_170829_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:30.006074,HUMAN_20250731_170830_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:30.365994,HUMAN_20250731_170830_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:30.725818,HUMAN_20250731_170830_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:31.071065,HUMAN_20250731_170831_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:31.464762,HUMAN_20250731_170831_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:31.860735,HUMAN_20250731_170831_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:32.270596,HUMAN_20250731_170832_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:32.678934,HUMAN_20250731_170832_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:33.080130,HUMAN_20250731_170833_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:33.478854,HUMAN_20250731_170833_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:33.872621,HUMAN_20250731_170833_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:08:34.369446,HUMAN_20250731_170834_17,MOVING,4.58,-8.962203264962696,2.2146758241297606,-2.68,3.71,0.18,0.12,2.0,AWAY,HUMAN
2025-07-31T17:09:43.239996,HUMAN_20250731_170943_6,MOVING,6.83,5.251991228700549,0.3258181709645816,0.55,6.81,0.04,0.35,2.0,AWAY,HUMAN
2025-07-31T17:09:43.588024,HUMAN_20250731_170943_6,MOVING,6.81,5.220682786519711,0.3568237698773297,0.55,6.78,0.04,0.41,2.0,AWAY,HUMAN
2025-07-31T17:09:43.934341,HUMAN_20250731_170943_6,MOVING,6.77,5.018229347509163,0.3483836408877845,0.53,6.75,0.04,0.51,2.0,AWAY,HUMAN
2025-07-31T17:09:44.281731,HUMAN_20250731_170944_6,SPEEDING,6.73,4.920853378531951,1.255282590914696,0.52,6.71,0.15,0.6,2.0,AWAY,HUMAN
2025-07-31T17:09:48.845646,HUMAN_20250731_170948_6,SPEEDING,1.82,5.782044592890245,1.6985302552142971,0.61,1.71,0.05,0.81,2.0,RIGHT,HUMAN
2025-07-31T17:09:49.233882,HUMAN_20250731_170949_6,SPEEDING,1.81,6.103144802600081,1.0701106788789012,0.64,1.69,0.03,0.79,2.0,RIGHT,HUMAN
2025-07-31T17:09:49.609063,HUMAN_20250731_170949_6,SPEEDING,1.8,6.51778438484886,0.5908234216649801,0.69,1.67,0.02,0.81,2.0,RIGHT,HUMAN
2025-07-31T17:09:50.288421,HUMAN_20250731_170950_6,MOVING,2.25,14.381999241185005,-0.45981783141481947,1.54,1.64,-0.02,0.48,2.0,RIGHT,HUMAN
2025-07-31T17:09:50.690227,HUMAN_20250731_170950_6,STATIONARY,2.27,14.585378919808697,-0.5257573856869155,1.56,1.65,-0.02,0.0,2.0,STATIC,HUMAN
2025-07-31T17:09:51.075558,HUMAN_20250731_170951_6,STATIONARY,2.27,14.585378919808697,-0.5257573856869155,1.56,1.65,-0.02,0.0,2.0,STATIC,HUMAN
2025-07-31T17:09:51.470099,HUMAN_20250731_170951_6,STATIONARY,2.27,14.585378919808697,-0.5257573856869155,1.56,1.65,-0.02,0.0,2.0,STATIC,HUMAN
2025-07-31T17:09:51.853126,HUMAN_20250731_170951_6,STATIONARY,2.27,14.585378919808697,-0.5257573856869155,1.56,1.65,-0.02,0.0,2.0,STATIC,HUMAN
2025-07-31T17:09:52.243197,HUMAN_20250731_170952_6,STATIONARY,2.27,14.585378919808697,-0.5257573856869155,1.56,1.65,-0.02,0.0,2.0,STATIC,HUMAN
2025-07-31T17:09:57.333375,HUMAN_20250731_170957_8,SPEEDING,2.42,2.657954631552917,-3.5885136501082187,0.37,2.39,-0.15,0.78,2.0,TOWARDS,HUMAN
2025-07-31T17:09:57.776984,HUMAN_20250731_170957_8,SPEEDING,2.47,3.0955498375031025,-2.8439799619260815,0.43,2.43,-0.12,0.81,2.0,TOWARDS,HUMAN
2025-07-31T17:09:58.200113,HUMAN_20250731_170958_8,SPEEDING,2.5,2.8282333671428215,-3.2412863352195695,0.4,2.47,-0.14,0.7,2.0,TOWARDS,HUMAN
2025-07-31T17:09:58.639757,HUMAN_20250731_170958_8,SPEEDING,2.54,2.599649128287935,-3.1683870656687043,0.36,2.51,-0.14,0.67,2.0,TOWARDS,HUMAN
2025-07-31T17:09:59.088179,HUMAN_20250731_170959_8,SPEEDING,2.58,2.6366843682609113,-3.0840514816167297,0.37,2.55,-0.14,0.65,2.0,TOWARDS,HUMAN
2025-07-31T17:09:59.545498,HUMAN_20250731_170959_8,SPEEDING,2.62,2.368065003277758,-2.8642109329951664,0.33,2.59,-0.13,0.69,2.0,TOWARDS,HUMAN
2025-07-31T17:10:00.254721,HUMAN_20250731_171000_8,SPEEDING,2.66,2.336320198061976,-3.35232716559211,0.33,2.64,-0.16,0.7,2.0,TOWARDS,HUMAN
2025-07-31T17:10:00.700211,HUMAN_20250731_171000_8,SPEEDING,2.7,2.2547882152675953,-3.3529347600372006,0.31,2.68,-0.16,0.72,2.0,TOWARDS,HUMAN
2025-07-31T17:10:01.434325,HUMAN_20250731_171001_8,STATIONARY,3.95,-1.128837303155437,-2.1089398608519763,-0.16,3.94,-0.15,0.0,2.0,STATIC,HUMAN
2025-07-31T17:10:01.982214,HUMAN_20250731_171001_8,STATIONARY,3.95,-1.128837303155437,-2.1089398608519763,-0.16,3.94,-0.15,0.0,2.0,STATIC,HUMAN
2025-07-31T17:10:02.372800,HUMAN_20250731_171002_8,STATIONARY,3.95,-1.128837303155437,-2.1089398608519763,-0.16,3.94,-0.15,0.0,2.0,STATIC,HUMAN
2025-07-31T17:10:02.739709,HUMAN_20250731_171002_8,STATIONARY,3.95,-1.128837303155437,-2.1089398608519763,-0.16,3.94,-0.15,0.0,2.0,STATIC,HUMAN
2025-07-31T17:10:03.110374,HUMAN_20250731_171003_8,STATIONARY,3.95,-1.128837303155437,-2.1089398608519763,-0.16,3.94,-0.15,0.0,2.0,STATIC,HUMAN
2025-07-31T17:10:03.470942,HUMAN_20250731_171003_8,STATIONARY,3.95,-1.128837303155437,-2.1089398608519763,-0.16,3.94,-0.15,0.0,2.0,STATIC,HUMAN
2025-07-31T17:10:03.842383,HUMAN_20250731_171003_8,STATIONARY,3.95,-1.128837303155437,-2.1089398608519763,-0.16,3.94,-0.15,0.0,2.0,STATIC,HUMAN
2025-07-31T17:10:04.205250,HUMAN_20250731_171004_8,STATIONARY,3.95,-1.128837303155437,-2.1089398608519763,-0.16,3.94,-0.15,0.0,2.0,STATIC,HUMAN
2025-07-31T17:10:04.567346,HUMAN_20250731_171004_8,STATIONARY,3.95,-1.1769638064995007,-1.8843503815025715,-0.16,3.94,-0.13,0.01,2.0,STATIC,HUMAN
2025-07-31T17:10:04.933729,HUMAN_20250731_171004_8,MOVING,3.95,-1.2241098179044818,-1.2796408854173056,-0.17,3.94,-0.09,0.01,2.0,STATIC,HUMAN
2025-07-31T17:10:05.300080,HUMAN_20250731_171005_8,MOVING,3.95,-1.2256442012636084,-0.9361510174446432,-0.17,3.94,-0.06,0.01,2.0,STATIC,HUMAN
2025-07-31T17:10:05.664525,HUMAN_20250731_171005_8,MOVING,3.94,-1.2872408995545939,-0.7497154746932723,-0.18,3.94,-0.05,0.03,2.0,STATIC,HUMAN
2025-07-31T17:10:06.024332,HUMAN_20250731_171006_8,MOVING,3.95,-1.3205326654584781,-0.3736132724254535,-0.18,3.94,-0.03,0.03,2.0,STATIC,HUMAN
2025-07-31T17:10:06.383692,HUMAN_20250731_171006_8,MOVING,3.94,-1.3618599702355436,-0.22965248999681356,-0.19,3.94,-0.02,0.04,2.0,STATIC,HUMAN
2025-07-31T17:10:06.748154,HUMAN_20250731_171006_8,STATIONARY,3.94,-1.376832685632321,-0.0970638645638953,-0.19,3.94,-0.01,0.0,2.0,STATIC,HUMAN
