timestamp,object_id,motion_state,range_m,azimuth_deg,elevation_deg,x,y,z,vRel,snr,direction,classification
2025-07-31T16:36:54.209946,HUMAN_20250731_163654_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:36:54.651801,HUMAN_20250731_163654_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:36:55.054668,HUMAN_20250731_163655_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:36:55.454326,HUMAN_20250731_163655_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:36:55.793536,HUMAN_20250731_163655_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:36:56.193378,HUMAN_20250731_163656_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:36:56.600367,HUMAN_20250731_163656_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:36:57.013309,HUMAN_20250731_163657_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:36:57.425985,HUMAN_20250731_163657_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:36:57.854091,HUMAN_20250731_163657_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:36:58.200428,HUMAN_20250731_163658_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:36:58.547228,HUMAN_20250731_163658_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:36:58.905780,HUMAN_20250731_163658_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:36:59.250993,HUMAN_20250731_163659_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:36:59.594759,HUMAN_20250731_163659_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:36:59.946100,HUMAN_20250731_163659_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:37:00.289249,HUMAN_20250731_163700_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:37:00.637051,HUMAN_20250731_163700_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:37:00.985649,HUMAN_20250731_163700_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:37:01.336891,HUMAN_20250731_163701_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:37:01.690360,HUMAN_20250731_163701_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:37:02.035534,HUMAN_20250731_163702_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:37:02.613579,HUMAN_20250731_163702_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:37:02.956666,HUMAN_20250731_163702_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:37:03.299950,HUMAN_20250731_163703_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:37:03.635064,HUMAN_20250731_163703_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:37:03.975303,HUMAN_20250731_163703_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:37:04.318580,HUMAN_20250731_163704_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:37:04.667214,HUMAN_20250731_163704_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
2025-07-31T16:37:05.020462,HUMAN_20250731_163705_20,MOVING,8.04,4.22155130333835,4.703871610520494,1.48,7.87,0.66,0.18,2.0,LEFT,HUMAN
