timestamp,object_id,motion_state,range_m,azimuth_deg,elevation_deg,x,y,z,vRel,snr,direction,classification
2025-07-31T11:05:29.590595,obj_3.2_0.21,MOVING,3.24,0.0,0.0,-0.44,3.21,0.26,0.21,5.0,STATIC,HUMAN
2025-07-31T11:05:29.666041,obj_3.2_0.2,MOVING,3.25,0.0,0.0,-0.44,3.22,0.26,0.2,5.0,STATIC,HUMAN
2025-07-31T11:05:29.726192,obj_3.3_0.18,MOVING,3.26,0.0,0.0,-0.44,3.23,0.29,0.18,5.0,STATIC,HUMAN
2025-07-31T11:05:29.786200,obj_3.3_0.17,MOVING,3.27,0.0,0.0,-0.44,3.24,0.31,0.17,5.0,STATIC,HUMAN
2025-07-31T11:05:29.846666,obj_3.3_0.16,MOVING,3.28,0.0,0.0,-0.44,3.25,0.33,0.17,5.0,STATIC,HUMAN
2025-07-31T11:05:29.956822,obj_3.3_0.11,MOVING,3.28,0.0,0.0,-0.44,3.25,0.36,0.11,5.0,STATIC,HUMAN
2025-07-31T11:05:30.033226,obj_3.2_-0.02,STATIONARY,3.25,0.0,0.0,-0.5,3.21,0.38,0.02,5.0,STATIC,HUMAN
2025-07-31T11:05:30.033226,obj_0.9_0.18,MOVING,0.91,0.0,0.0,0.04,0.91,-0.04,0.3,5.0,STATIC,HUMAN
2025-07-31T11:05:30.101378,obj_3.2_-0.02,STATIONARY,3.24,0.0,0.0,-0.5,3.2,0.39,0.02,5.0,STATIC,HUMAN
2025-07-31T11:05:30.101378,obj_0.9_0.14,MOVING,0.92,0.0,0.0,-0.0,0.92,-0.02,0.15,5.0,STATIC,HUMAN
2025-07-31T11:05:30.169743,obj_3.2_0.0,STATIONARY,3.25,0.0,0.0,-0.5,3.21,0.39,0.01,5.0,STATIC,HUMAN
2025-07-31T11:05:30.169743,obj_0.9_0.14,MOVING,0.92,0.0,0.0,-0.0,0.92,-0.01,0.14,5.0,STATIC,HUMAN
2025-07-31T11:05:30.239874,obj_3.3_0.03,STATIONARY,3.27,0.0,0.0,-0.5,3.23,0.38,0.03,5.0,STATIC,HUMAN
2025-07-31T11:05:30.239874,obj_0.9_0.13,MOVING,0.93,0.0,0.0,0.0,0.93,-0.01,0.13,5.0,STATIC,HUMAN
2025-07-31T11:05:30.311831,obj_3.3_0.06,STATIONARY,3.27,0.0,0.0,-0.5,3.24,0.36,0.06,5.0,STATIC,HUMAN
2025-07-31T11:05:30.311831,obj_0.9_0.11,MOVING,0.93,0.0,0.0,0.01,0.93,0.01,0.11,5.0,STATIC,HUMAN
2025-07-31T11:05:30.379086,obj_3.3_0.06,STATIONARY,3.27,0.0,0.0,-0.5,3.23,0.36,0.06,5.0,STATIC,HUMAN
2025-07-31T11:05:30.379086,obj_0.9_0.09,MOVING,0.93,0.0,0.0,0.0,0.93,0.05,0.09,5.0,STATIC,HUMAN
2025-07-31T11:05:30.446173,obj_3.3_0.09,MOVING,3.28,0.0,0.0,-0.49,3.25,0.35,0.09,5.0,STATIC,HUMAN
2025-07-31T11:05:30.446173,obj_0.9_0.04,STATIONARY,0.92,0.0,0.0,0.01,0.92,-0.02,0.04,5.0,STATIC,HUMAN
2025-07-31T11:05:30.513463,obj_3.3_0.1,MOVING,3.28,0.0,0.0,-0.48,3.25,0.36,0.1,5.0,STATIC,HUMAN
2025-07-31T11:05:30.513463,obj_0.9_0.02,STATIONARY,0.92,0.0,0.0,0.01,0.92,-0.02,0.03,5.0,STATIC,HUMAN
