timestamp,object_id,motion_state,range_m,azimuth_deg,elevation_deg,x,y,z,vRel,snr,direction,classification
2025-07-31T16:38:13.171472,HUMAN_20250731_163813_23,MOVING,8.0,3.4415439680568776,5.493599690870595,1.38,7.84,0.77,0.14,2.0,AWAY,HUMAN
2025-07-31T16:38:13.589767,HUMAN_20250731_163813_23,MOVING,7.99,3.438203898269978,5.429195086770513,1.38,7.84,0.76,0.13,2.0,AWAY,HUMAN
2025-07-31T16:38:13.996197,HUMAN_20250731_163813_23,MOVING,7.99,3.4321039496464976,5.471372191066026,1.38,7.83,0.76,0.14,2.0,AWAY,HUMAN
2025-07-31T16:38:14.400983,HUMAN_20250731_163814_23,MOVING,7.98,3.420913455826552,5.440194589043077,1.37,7.82,0.76,0.14,2.0,AWAY,HUMAN
2025-07-31T16:38:14.801223,HUMAN_20250731_163814_23,MOVING,7.97,3.312886641537756,5.427492239880266,1.33,7.82,0.75,0.26,2.0,LEFT,HUMAN
2025-07-31T16:38:15.198188,HUMAN_20250731_163815_23,MOVING,7.96,3.2465961154566343,5.471734207867999,1.3,7.81,0.76,0.31,2.0,LEFT,HUMAN
2025-07-31T16:38:15.543619,HUMAN_20250731_163815_23,SPEEDING,7.94,3.1019615876806945,6.49016345929508,1.25,7.79,0.9,0.46,2.0,LEFT,HUMAN
2025-07-31T16:38:15.963650,HUMAN_20250731_163815_23,STATIONARY,0.0,9.663672779466207e-37,2.239417293716933e-32,0.0,0.0,0.0,0.0,2.0,STATIC,HUMAN
2025-07-31T16:38:16.901701,HUMAN_20250731_163816_23,SPEEDING,1.22,-0.7865673996782224,2.5916127647955016,-0.32,1.18,0.06,0.62,2.0,AWAY,HUMAN
2025-07-31T16:38:17.357888,HUMAN_20250731_163817_23,SPEEDING,1.19,-0.6965428669461834,2.7981799977686515,-0.28,1.15,0.06,0.55,2.0,AWAY,HUMAN
2025-07-31T16:38:17.991417,HUMAN_20250731_163817_23,MOVING,1.17,-0.4273192058285956,0.0035736434661332982,-0.17,1.16,0.0,0.46,2.0,AWAY,HUMAN
2025-07-31T16:38:18.412993,HUMAN_20250731_163818_23,MOVING,1.14,-0.4071673570387424,1.8715584536832797,-0.16,1.13,0.04,0.46,2.0,AWAY,HUMAN
2025-07-31T16:38:18.899227,HUMAN_20250731_163818_23,MOVING,1.11,-0.38152614997157636,4.085452846319676,-0.15,1.1,0.08,0.43,2.0,AWAY,HUMAN
2025-07-31T16:38:19.288950,HUMAN_20250731_163819_23,MOVING,1.1,-0.3622482716648011,4.357189110669889,-0.15,1.08,0.08,0.4,2.0,AWAY,HUMAN
2025-07-31T16:38:19.681482,HUMAN_20250731_163819_23,MOVING,1.08,-0.32751898580806427,3.9325525697865995,-0.13,1.07,0.07,0.38,2.0,AWAY,HUMAN
2025-07-31T16:38:20.077674,HUMAN_20250731_163820_23,MOVING,1.06,-0.3239129111071475,3.660276477935813,-0.13,1.05,0.07,0.35,2.0,AWAY,HUMAN
2025-07-31T16:38:20.692422,HUMAN_20250731_163820_14,MOVING,0.9,-1.7036418985782948,-1.7229991874370394,-0.42,0.8,-0.03,0.49,2.0,LEFT,HUMAN
2025-07-31T16:38:21.075055,HUMAN_20250731_163821_14,MOVING,0.9,-1.7910456219127961,-2.1079577872281647,-0.44,0.79,-0.03,0.48,2.0,LEFT,HUMAN
2025-07-31T16:38:21.469657,HUMAN_20250731_163821_14,MOVING,0.91,-1.867534735853958,-1.8228303083692972,-0.46,0.79,-0.03,0.47,2.0,LEFT,HUMAN
2025-07-31T16:38:21.852986,HUMAN_20250731_163821_14,MOVING,0.91,-1.9323806551259073,-1.4441948294061409,-0.47,0.78,-0.02,0.45,2.0,LEFT,HUMAN
2025-07-31T16:38:22.471214,HUMAN_20250731_163822_14,MOVING,0.9,-1.6266742583966394,-1.5316300945227992,-0.4,0.81,-0.02,0.21,2.0,LEFT,HUMAN
2025-07-31T16:38:22.850337,HUMAN_20250731_163822_14,MOVING,0.91,-1.5002481530600842,-1.3844584086672096,-0.37,0.83,-0.02,0.11,2.0,LEFT,HUMAN
2025-07-31T16:38:23.243853,HUMAN_20250731_163823_14,MOVING,0.91,-1.462669319247087,-1.5836668379532486,-0.36,0.84,-0.03,0.08,2.0,LEFT,HUMAN
2025-07-31T16:38:23.628473,HUMAN_20250731_163823_14,MOVING,0.91,-1.3957708526125434,-1.2939004523678161,-0.34,0.84,-0.02,0.05,2.0,TOWARDS,HUMAN
2025-07-31T16:38:24.063555,HUMAN_20250731_163824_14,STATIONARY,0.91,-1.3649697070134819,-1.5718874926010198,-0.33,0.84,-0.02,0.05,2.0,STATIC,HUMAN
2025-07-31T16:38:24.507624,HUMAN_20250731_163824_14,MOVING,0.9,-1.6346762913626036,3.6214058783617817,-0.4,0.8,0.06,0.19,2.0,LEFT,HUMAN
2025-07-31T16:38:24.969664,HUMAN_20250731_163824_14,STATIONARY,0.9,-1.672357044785317,4.7689219159452465,-0.41,0.8,0.07,0.0,2.0,STATIC,HUMAN
2025-07-31T16:38:25.411019,HUMAN_20250731_163825_14,STATIONARY,0.9,-1.6965140457348478,5.045030725899438,-0.41,0.79,0.08,0.02,2.0,STATIC,HUMAN
2025-07-31T16:38:25.862648,HUMAN_20250731_163825_14,STATIONARY,0.9,-1.6965140457348478,5.045030725899438,-0.41,0.79,0.08,0.02,2.0,STATIC,HUMAN
2025-07-31T16:38:26.319624,HUMAN_20250731_163826_14,STATIONARY,0.89,-1.7193161160680999,4.626334838612274,-0.42,0.78,0.07,0.05,2.0,STATIC,HUMAN
2025-07-31T16:38:26.765568,HUMAN_20250731_163826_14,STATIONARY,0.89,-1.719392155370057,4.492244461538351,-0.42,0.78,0.07,0.04,2.0,STATIC,HUMAN
2025-07-31T16:46:29.931866,HUMAN_20250731_164629_25,SPEEDING,2.41,0.0,0.0,-2.25,0.86,0.11,0.7,2.0,LEFT,HUMAN
