timestamp,object_id,motion_state,range_m,azimuth_deg,elevation_deg,x,y,z,vRel,snr,direction,classification
2025-07-31T15:58:51.717175,HUMAN_20250731_155851_29,STATIONARY,7.99,0.0,0.0,1.4,7.85,0.53,0.0,2.0,STATIC,HUMAN
2025-07-31T15:58:51.717175,HUMAN_20250731_155851_19,STATIONARY,8.8,0.0,0.0,-2.88,8.27,0.93,0.08,2.0,LEFT,HUMAN
2025-07-31T15:58:52.097827,HUMAN_20250731_155852_29,STATIONARY,7.99,0.0,0.0,1.4,7.85,0.53,0.0,2.0,STATIC,HUMAN
2025-07-31T15:58:52.097827,HUMAN_20250731_155852_19,STATIONARY,8.8,0.0,0.0,-2.88,8.27,0.93,0.08,2.0,LEFT,HUMAN
2025-07-31T15:58:52.449538,HUMAN_20250731_155852_29,STATIONARY,7.99,0.0,0.0,1.4,7.85,0.53,0.0,2.0,STATIC,HUMAN
2025-07-31T15:58:52.449538,HUMAN_20250731_155852_19,STATIONARY,8.8,0.0,0.0,-2.88,8.27,0.93,0.08,2.0,LEFT,HUMAN
2025-07-31T15:58:52.823376,HUMAN_20250731_155852_29,STATIONARY,7.99,0.0,0.0,1.4,7.85,0.53,0.0,2.0,STATIC,HUMAN
2025-07-31T15:58:52.823376,HUMAN_20250731_155852_19,STATIONARY,8.8,0.0,0.0,-2.88,8.27,0.93,0.08,2.0,LEFT,HUMAN
2025-07-31T15:58:53.173515,HUMAN_20250731_155853_29,STATIONARY,7.99,0.0,0.0,1.4,7.85,0.53,0.0,2.0,STATIC,HUMAN
2025-07-31T15:58:53.173515,HUMAN_20250731_155853_19,STATIONARY,8.8,0.0,0.0,-2.88,8.27,0.93,0.08,2.0,LEFT,HUMAN
2025-07-31T15:58:53.523498,HUMAN_20250731_155853_29,STATIONARY,7.99,0.0,0.0,1.4,7.85,0.53,0.0,2.0,STATIC,HUMAN
2025-07-31T15:58:53.523498,HUMAN_20250731_155853_19,STATIONARY,8.8,0.0,0.0,-2.88,8.27,0.93,0.08,2.0,LEFT,HUMAN
2025-07-31T15:58:53.876065,HUMAN_20250731_155853_29,STATIONARY,7.99,0.0,0.0,1.4,7.85,0.53,0.0,2.0,STATIC,HUMAN
2025-07-31T15:58:53.876065,HUMAN_20250731_155853_19,STATIONARY,8.8,0.0,0.0,-2.88,8.27,0.93,0.08,2.0,LEFT,HUMAN
2025-07-31T15:58:54.304267,HUMAN_20250731_155854_29,STATIONARY,7.99,0.0,0.0,1.4,7.85,0.53,0.0,2.0,STATIC,HUMAN
2025-07-31T15:58:54.304267,HUMAN_20250731_155854_19,STATIONARY,8.8,0.0,0.0,-2.88,8.27,0.93,0.08,2.0,LEFT,HUMAN
2025-07-31T15:58:54.711869,HUMAN_20250731_155854_29,STATIONARY,7.99,0.0,0.0,1.4,7.85,0.53,0.0,2.0,STATIC,HUMAN
2025-07-31T15:58:54.711869,HUMAN_20250731_155854_19,STATIONARY,8.8,0.0,0.0,-2.88,8.27,0.93,0.08,2.0,LEFT,HUMAN
2025-07-31T15:58:55.132930,HUMAN_20250731_155855_29,STATIONARY,7.99,0.0,0.0,1.4,7.85,0.53,0.0,2.0,STATIC,HUMAN
2025-07-31T15:58:55.132930,HUMAN_20250731_155855_19,STATIONARY,8.8,0.0,0.0,-2.88,8.27,0.93,0.08,2.0,LEFT,HUMAN
2025-07-31T15:58:55.487348,HUMAN_20250731_155855_29,STATIONARY,7.99,0.0,0.0,1.4,7.85,0.53,0.0,2.0,STATIC,HUMAN
2025-07-31T15:58:55.487348,HUMAN_20250731_155855_19,STATIONARY,8.8,0.0,0.0,-2.88,8.27,0.93,0.08,2.0,LEFT,HUMAN
2025-07-31T15:58:55.860325,HUMAN_20250731_155855_29,STATIONARY,7.99,0.0,0.0,1.4,7.85,0.53,0.0,2.0,STATIC,HUMAN
2025-07-31T15:58:55.860325,HUMAN_20250731_155855_19,STATIONARY,8.8,0.0,0.0,-2.88,8.27,0.93,0.08,2.0,LEFT,HUMAN
2025-07-31T15:58:56.229030,HUMAN_20250731_155856_29,STATIONARY,7.99,0.0,0.0,1.4,7.85,0.53,0.0,2.0,STATIC,HUMAN
2025-07-31T15:58:56.229030,HUMAN_20250731_155856_19,STATIONARY,8.8,0.0,0.0,-2.88,8.27,0.93,0.08,2.0,LEFT,HUMAN
2025-07-31T15:58:56.582862,HUMAN_20250731_155856_29,STATIONARY,7.99,0.0,0.0,1.4,7.85,0.53,0.0,2.0,STATIC,HUMAN
2025-07-31T15:58:56.582862,HUMAN_20250731_155856_19,STATIONARY,8.8,0.0,0.0,-2.88,8.27,0.93,0.08,2.0,LEFT,HUMAN
2025-07-31T15:58:56.940226,HUMAN_20250731_155856_29,STATIONARY,7.99,0.0,0.0,1.4,7.85,0.53,0.0,2.0,STATIC,HUMAN
2025-07-31T15:58:56.940226,HUMAN_20250731_155856_19,STATIONARY,8.8,0.0,0.0,-2.88,8.27,0.93,0.08,2.0,LEFT,HUMAN
2025-07-31T15:58:57.301046,HUMAN_20250731_155857_29,STATIONARY,7.99,0.0,0.0,1.4,7.85,0.53,0.0,2.0,STATIC,HUMAN
2025-07-31T15:58:57.301046,HUMAN_20250731_155857_19,STATIONARY,8.8,0.0,0.0,-2.88,8.27,0.93,0.08,2.0,LEFT,HUMAN
2025-07-31T15:58:57.665019,HUMAN_20250731_155857_29,STATIONARY,7.99,0.0,0.0,1.4,7.85,0.53,0.0,2.0,STATIC,HUMAN
